2023-12-28T11:23:55.692+09:00  INFO 12548 --- [restartedMain] com.kdt.AirbudsApplication               : Starting AirbudsApplication using Java 17.0.9 with PID 12548 (C:\Users\kwon\Documents\3rd\spring\target\classes started by kwon in C:\Users\kwon\Documents\3rd\spring)
2023-12-28T11:23:55.692+09:00 DEBUG 12548 --- [restartedMain] com.kdt.AirbudsApplication               : Running with Spring Boot v3.0.13, Spring v6.0.14
2023-12-28T11:23:55.692+09:00  INFO 12548 --- [restartedMain] com.kdt.AirbudsApplication               : No active profile set, falling back to 1 default profile: "default"
2023-12-28T11:23:55.692+09:00 DEBUG 12548 --- [restartedMain] o.s.boot.SpringApplication               : Loading source class com.kdt.AirbudsApplication
2023-12-28T11:23:55.694+09:00 DEBUG 12548 --- [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@15f19cb
2023-12-28T11:23:55.695+09:00 DEBUG 12548 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-12-28T11:23:55.695+09:00 DEBUG 12548 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-12-28T11:23:55.711+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\config\FileConfig.class]
2023-12-28T11:23:55.712+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\config\MailConfig.class]
2023-12-28T11:23:55.714+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\config\SecurityConfig.class]
2023-12-28T11:23:55.715+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\AlbumController.class]
2023-12-28T11:23:55.721+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\AlbumTagController.class]
2023-12-28T11:23:55.726+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\AlbumTagListController.class]
2023-12-28T11:23:55.731+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\AnnounceController.class]
2023-12-28T11:23:55.732+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\CurrentPlayListController.class]
2023-12-28T11:23:55.732+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\DashboardController.class]
2023-12-28T11:23:55.740+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\LikenFollowController.class]
2023-12-28T11:23:55.741+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\MemberController.class]
2023-12-28T11:23:55.742+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\controllers\MusicTagController.class]
